RMSI,3.5,2.3k,IT Services & Consulting , Hyderabad ,25
Cybage,3.8,2.3k,IT Services & Consulting , Pune ,15
Aavas Financiers,4.0,2.3k,NBFC , Jaipur ,295
Xoriant,4.1,2.3k,IT Services & Consulting , Pune ,23
Straive,3.3,2.3k,IT Services & Consulting , Chennai ,31
Kia India,4.0,2.3k,Automobile , Anantapur ,191
Sopra Steria,3.9,2.3k,IT Services & Consulting , Noida ,20
Akums Drugs & Pharmaceuticals Limited,4.2,2.3k,Pharma , Haridwar ,39
Apollo Pharmacy,3.7,2.3k,Pharma , Hyderabad ,288
GVK Emergency Management and Research Institute,3.6,2.3k,Non-Profit , Lucknow ,214
Lifestyle,4.2,2.3k,Retail , Bengaluru ,129
Eureka Forbes,3.6,2.3k,Consumer Electronics & Appliances , Mumbai ,185
Sobha,3.8,2.3k,Real Estate , Bengaluru ,39
GAO Tek,4.5,2.3k,Electrical Equipment , New York ,43
Lodha,4.2,2.3k,Real Estate , Mumbai ,30
Radisson Hotels,4.0,2.3k,Hospitality , New Delhi ,129
Unacademy,2.9,2.3k,EdTech , Bengaluru ,73
TCE,3.8,2.2k,Engineering & Construction , Mumbai ,132
Newgen Software Technologies,4.1,2.3k,IT Services & Consulting , Noida ,32
Myntra,3.8,2.2k,Internet , Bengaluru ,103
SBI Securities,3.6,2.2k,Financial Services , Mumbai ,320
Endurance Technologies Limited,4.0,2.2k,Auto Components , Chhatrapati Sambhajinagar ,51
Team Computers,3.6,2.2k,IT Services & Consulting , New Delhi ,107
Panasonic Life Solutions India,3.9,2.2k,Consumer Electronics & Appliances , Haridwar ,168
AWL Agri Business,4.0,2.2k,FMCG , Ahmedabad ,203
Star Union Dai-ichi Life Insurance,3.8,2.2k,Insurance , Mumbai ,323
Daikin Airconditioning India Pvt. Ltd.,4.2,2.2k,Consumer Electronics & Appliances , Neemrana ,109
Lava International,3.9,2.2k,Consumer Electronics & Appliances , Noida ,223
Cisco,4.1,2.2k,Hardware & Networking , Bengaluru ,46
BNP Paribas,3.7,2.2k,Banking , Mumbai ,27
Bharti AXA Life Insurance,3.6,2.2k,Insurance , Mumbai ,243
